# Region      : cellZone ignition
# Cells       : 1
# Volume      : 2.655875e-09
# Time        	volAverage(T)	volAverage(CH4)
0.00439       	2.309719e+03	1.330897e-05
0.0044        	2.308878e+03	1.325061e-05
0.00441       	2.308042e+03	1.329478e-05
0.00442       	2.307181e+03	1.337226e-05
0.00443       	2.306341e+03	1.321692e-05
0.00444       	2.305512e+03	1.317356e-05
0.00445       	2.304660e+03	1.317643e-05
0.00446       	2.303836e+03	1.296664e-05
0.00447       	2.303027e+03	1.289120e-05
0.00448       	2.302197e+03	1.288450e-05
0.00449       	2.301393e+03	1.271364e-05
0.0045        	2.300595e+03	1.271868e-05
0.00451       	2.299797e+03	1.264415e-05
0.00452       	2.299026e+03	1.245691e-05
0.00453       	2.298280e+03	1.221569e-05
0.00454       	2.297547e+03	1.198485e-05
0.00455       	2.296755e+03	1.182434e-05
0.00456       	2.295956e+03	1.176711e-05
0.00457       	2.295146e+03	1.191641e-05
0.00458       	2.294340e+03	1.224597e-05
0.00459       	2.293567e+03	1.228755e-05
0.0046        	2.292814e+03	1.215212e-05
0.00461       	2.292073e+03	1.210493e-05
0.00462       	2.291035e+03	1.202201e-05
0.00463       	2.290092e+03	1.189029e-05
0.00464       	2.289210e+03	1.182025e-05
0.00465       	2.288379e+03	1.154537e-05
0.00466       	2.287600e+03	1.116497e-05
0.00467       	2.286803e+03	1.110811e-05
0.00468       	2.286011e+03	1.110523e-05
0.00469       	2.285252e+03	1.120982e-05
0.0047        	2.284488e+03	1.132764e-05
0.00471       	2.283736e+03	1.143002e-05
0.00472       	2.283003e+03	1.143072e-05
0.00473       	2.282269e+03	1.150136e-05
0.00474       	2.281559e+03	1.132839e-05
0.00475       	2.280872e+03	1.108471e-05
0.00476       	2.280170e+03	1.106477e-05
0.00477       	2.279497e+03	1.083035e-05
0.00478       	2.278403e+03	1.321560e-05
0.00479       	2.277531e+03	1.497245e-05
0.0048        	2.276898e+03	1.468828e-05
0.00481       	2.276203e+03	1.374215e-05
0.00482       	2.275543e+03	1.325653e-05
0.00483       	2.274822e+03	1.292782e-05
0.00484       	2.274120e+03	1.251489e-05
0.00485       	2.273446e+03	1.203070e-05
0.00486       	2.272835e+03	1.134211e-05
0.00487       	2.272217e+03	1.060617e-05
0.00488       	2.271564e+03	1.009555e-05
0.00489       	2.270942e+03	9.751625e-06
0.0049        	2.270237e+03	9.982928e-06
0.00491       	2.269611e+03	1.019701e-05
0.00492       	2.268927e+03	1.071909e-05
0.00493       	2.268311e+03	1.094366e-05
0.00494       	2.267764e+03	1.088242e-05
0.00495       	2.267177e+03	1.093980e-05
0.00496       	2.266573e+03	1.116857e-05
0.00497       	2.265984e+03	1.138013e-05
0.00498       	2.265420e+03	1.144662e-05
0.00499       	2.264846e+03	1.148509e-05
0.005         	2.264300e+03	1.135067e-05
0.00501       	2.263751e+03	1.119388e-05
0.00502       	2.263208e+03	1.105187e-05
0.00503       	2.262672e+03	1.091033e-05
0.00504       	2.262169e+03	1.067911e-05
0.00505       	2.261690e+03	1.034181e-05
0.00506       	2.261249e+03	9.873664e-06
0.00507       	2.260784e+03	9.549539e-06
0.00508       	2.260293e+03	9.449864e-06
0.00509       	2.259762e+03	9.588474e-06
0.0051        	2.259245e+03	9.761764e-06
0.00511       	2.258790e+03	9.729300e-06
0.00512       	2.258276e+03	9.828144e-06
0.00513       	2.257817e+03	9.582779e-06
0.00514       	2.257336e+03	9.423310e-06
0.00515       	2.256933e+03	9.135472e-06
0.00516       	2.256429e+03	9.287579e-06
0.00517       	2.255910e+03	9.430492e-06
0.00518       	2.255402e+03	9.649982e-06
0.00519       	2.254905e+03	9.945014e-06
0.0052        	2.254503e+03	9.939378e-06
0.00521       	2.254058e+03	1.004416e-05
0.00522       	2.253612e+03	1.011525e-05
0.00523       	2.253121e+03	1.018536e-05
0.00524       	2.252778e+03	9.761986e-06
0.00525       	2.252508e+03	9.002498e-06
0.00526       	2.251973e+03	8.934790e-06
0.00527       	2.251620e+03	8.988580e-06
0.00528       	2.251269e+03	9.264223e-06
0.00529       	2.250898e+03	9.481743e-06
0.0053        	2.250472e+03	9.675003e-06
0.00531       	2.250081e+03	9.603513e-06
0.00532       	2.249718e+03	9.488296e-06
0.00533       	2.249319e+03	9.627970e-06
0.00534       	2.248894e+03	9.791095e-06
0.00535       	2.248501e+03	9.746777e-06
0.00536       	2.248090e+03	9.755380e-06
0.00537       	2.247650e+03	9.912405e-06
0.00538       	2.247212e+03	1.003102e-05
0.00539       	2.246794e+03	1.000365e-05
